Rank,Traditional,Simplified,Pinyin,Meaning
5215,是非,是非,shìfēi,"right and wrong, quarrel, dispute"
5216,南京,南京,nánjīng,Nanjing (capital of Jiangsu)
5217,省立,省立,shěnglì,province-established
5218,浴室,浴室,yūshì,"W.C., bathroom, shower room, balneary, water closet, loo, toilet, closet, bath"
5219,拆,拆,chāi,"section, disaffiliate, unseal, rip, dismantle, dismantlement, unweave, pull down, take apart, tear open"
5220,密度,密度,mìdù,"density, texture, thickness, consistency, compactness, concentration, denseness"
5221,壯觀,壮观,zhuàngguān,"sublime, spectacular, magnificent"
5222,紀念館,纪念馆,jìniànguǎn,"memorial museum, museum in memory of sb., memorial hall, monument, memorial hall/museum, museum, memorial"
5223,迷人,迷人,mírén,"beguile, enamor, charm, becharm, enchanting, charming, enwrap, attractive"
5224,高雄縣,高雄县,gāoxióngxiàn,Kaohsiung(a county in Taiwan)
5225,深遠,深远,shēnyuǎn,profound and far-reaching
5226,追查,追查,zhuīchá,"investigate, trace, find out"
5227,眼神,眼神,yǎnshén,"eye, expression in one's eyes, sight, eyesight"
5228,眷村,眷村,juàncūn,military village
5229,追查,追查,zhuīchá,"investigate, trace, find out"
5230,粗,粗,cū,"wide (in diameter), thick"
5231,國有,国有,guóyǒu,"belong to the state, nationalized, state-owned"
5232,開刀,开刀,kāidāo,"decapitate, operate, make sb. first target of attack, have operation, perform an operation, behead, perform an surgery, have an operation, make ... the first target of attack, perform operation, operate on, surgery, perform"
5233,邀集,邀集,yāojí,"invite, invite to assemble, invite to meet together, call together"
5234,水墨,水墨,shuǐmò,ink painting without color
5235,激勵,激励,jīlì,"encourage, impel, urge"
5236,選修,选修,xuǎnxiū,"study, read, take ... as an elective course, take as an elective, take, learn"
5237,激勵,激励,jīlì,"encourage, impel, urge"
5238,甄試,甄试,zhēnshì,examination
5239,標誌,标志,biāozhì,"earmark, banner, standing for, logo, symbol, marker, stamp, sign, symbolization, mark, emblem, seal, logotype, symbolizing, blip, marking, insignia"
5240,甲,甲,jiǎ,"det.: first, first of the ten Heavenly Stems"
5241,去,去,qù,"get rid of, remove, cast out"
5242,可觀,可观,kěguān,"goodly, substantial"
5243,下車,下车,xiàchē,get off/out of vehicle
5244,讀經,读经,dújīng,read classics
5245,提及,提及,tíjí,"allude, cite, reference, come up, speak_to, refer to, notice, syllable, mention, advert to"
5246,埋,埋,mái,"hide away, burial, bury, inter"
5247,仍舊,仍旧,réngjiù,"still, as before"
5248,奉獻,奉献,fèngxiàn,"offer as tribute, present with all respect"
5249,沿海,沿海,yánhǎi,"coast, coastal, along the coast, littoral"
5250,任,任,rèn,m.[general]
5251,安心,安心,ānxīn,"reassured, disburden, set one's mind at rest, feel at ease, reassuring, keep one's mind on sth., be relieved"
5252,奉獻,奉献,fèngxiàn,"offer as tribute, present with all respect"
5253,進展,进展,jìnzhǎn,"progress, advance"
5254,厚,厚,hòu,"thick, fat, magnanimous, favor, kind, generous, deep, strong in flavor, large, stress, profound, rich"
5255,農委會,农委会,nóngwěihuì,Council of Agriculture
5256,即為,即为,jíwéi,be
5257,開啟,开启,kāiqǐ,open
5258,立陶宛,立陶宛,lìtáowǎn,Lithuania
5259,鄉公所,乡公所,xiānggōngsuǒ,administrative office for group of villages
5260,開啟,开启,kāiqǐ,open
5261,座談,座谈,zuòtán,"forum, symposium"
5262,門票,门票,ménpiào,"entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance"
5263,一體,一体,yītǐ,"an organic/integral whole, all concerned"
5264,裏面,裏面,lǐmiàn,"inside, interior"
5265,試驗,试验,shìyàn,"test, experiment"
5266,惡性,恶性,èxìng,"malignant, pernicious, vicious, deadly, malignancy, viciousness, lethal, venomous, fatal, virulent"
5267,鄉鎮,乡镇,xiāngzhèn,"villages and towns, small town, village, village and town, small towns"
5268,董事,董事,dǒngshì,"director, trustee"
5269,跡象,迹象,jīxiàng,"breath, gleam, spark, intimation, indication, trace, vestige, glint, evidence, sign, showing, mark, shadow, glimmer, appearance, relic, hint, phenomenon, augury"
5270,鞋子,鞋子,xiézi5,"footgear, chaussure, footwear, pinchers, shoes, shoe"
5271,瑞典,瑞典,ruìdiǎn,Sweden
5272,導師,导师,dǎoshī,"don, guide of a great cause, hierophant, teacher, tutor, imam, supervisor, leader in a cause, preceptor, professor, preceptorship, adviser, teacher in charge of class, mentor, counselor"
5273,選定,选定,xuǎndìng,"select, designate"
5274,選定,选定,xuǎndìng,"select, designate"
5275,用以,用以,yòngyǐ,"wherewith, in order to, wherewithal, so as to"
5276,出任,出任,chūrèn,take up the post of
5277,循,循,xún,"follow, abide by"
5278,不顧,不顾,búgù,ignore
5279,絲,丝,sī,m.[proximation]
5280,央行,央行,yāngháng,The Central Bank of China
5281,騷擾,骚扰,sāorǎo,"harass, molest"
5282,騷擾,骚扰,sāorǎo,"harass, molest"
5283,田徑,田径,tiánjìng,"track and field, track-and-field, athlete, athletics, sport"
5284,在意,在意,zàiyì,"take notice of, care about, pay attention to, take ... to heart, care, mind"
5285,循,循,xún,"follow, abide by"
5286,往來,往来,wǎnglái,"contact, intercourse"
5287,慎重,慎重,shènzhòng,"careful, cautious, serious, discreet"
5288,往來,往来,wǎnglái,"contact, intercourse"
5289,何處,何处,héchù,where
5290,事變,事变,shìbiàn,"exigency, events, course of events, emergency, incident, pinch, affair"
5291,好,好,hào,be fond of
5292,老家,老家,lǎojiā,"native place, old home, one's original home"
5293,立法委員,立法委员,lìfǎwěiyuán,legislator
5294,空軍,空军,kōngjūn,"airforce, air_force, Luftwaffe, air force, squadron"
5295,貢獻,贡献,gòngxiàn,"contribute, dedicate, devote"
5296,負責任,负责任,fùzérèn,"be responsible for, responsible, conscientious, be in charge of"
5297,高,高,gāo,surname
5298,高大,高大,gāodà,"tall and big, great, massive"
5299,終身,终身,zhōngshēn,"lifetime, life, marriage, all one's life, lifelong"
5300,缺失,缺失,quēshī,"lacuna, drawback, gaps and omissions, deletion, defect, hole"
5301,教會,教会,jiàohuì,"communion, mission, ecclesiastic, kirk, ecclesia, church, chapel, (Christian) church"
5302,啟發,启发,qǐfā,"enlighten, stimulate"
5303,啟發,启发,qǐfā,"enlighten, stimulate"
5304,南韓,南韩,nánhán,South Korea
5305,抱持,抱持,bàochí,"maintain, maintain (opinion, etc.), maintain (opinion/etc.)"
5306,心願,心愿,xīnyuàn,breathing
5307,裏,裏,lǐ,"internal, interior, inside"
5308,蔬菜,蔬菜,shūcài,"vegetal, kale, greenstuff, veggie, greengrocery, kail, greens, vegetables, truck, veg, sass, vegetable, vegetative"
5309,零用錢,零用钱,língyòngqián,"pin money, spending money, pocket_money, petty_cash, pocket money, poket money, petty cash, pin_money"
5310,餐館,餐馆,cānguǎn,"chophouse, restaurant, porterhouse, osteria, cafe, caff"
5311,算了,算了,suànle5,"Forget about it., That's enough!"
5312,錯,错,cuò,"mistake, error, blunder, grindstone"
5313,融資,融资,róngzī,capital
5314,舞者,舞者,wǔzhě,"hoofer, dancer"
5315,濃,浓,nóng,"thick, concentrated, stress, favor, dense"
5316,打擊,打击,dǎjí,"strike, hit, attack"
5317,考試,考试,kǎoshì,"examine, test"
5318,不堪,不堪,bùkān,can't bear/stand
5319,氣象,气象,qìxiàng,"meteorologic, advection, isotherm, meteorology, cirrocumulus, meteorological, altostratus, atmosphere, prevailing spirit/atmosphere, scene, nimbus, prevailing atmosphere, climatic phenomenon, cirrostratus, cumulonimbus, prevailing spirit, meteorological phenomena, altocumulus"
5320,冊,册,cè,m.[general]
5321,縮小,缩小,suōxiǎo,"recede, dwindle away, narrow, foreshorten, shrinkage, narrow down, abridge, minify, reduction, puncture, compress, specialize, scale down, dwindle, deflate, minish, take in, reduce, lessen, shorten, diminish, dwindle down, shrink, subside, deescalate, retract"
5322,爛,烂,làn,"rot, sodden, deteriorate, fester, mushy, mashed, dissolute, poor, worn-out, decayed, rotten"
5323,開幕,开幕,kāimù,"open, inaugurate (meeting/etc.), raise curtain"
5324,人為,人为,rénwéi,"man-made, artificial"
5325,弱勢,弱势,ruòshì,the weak
5326,意外,意外,yìwài,"unexpected, unforeseen"
5327,行政院長,行政院长,xíngzhèngyuànzhǎng,premier
5328,物體,物体,wùtǐ,"object, body, thrust, substance, matter, physical object"
5329,家事,家事,jiāshì,"family matters, housekeeping, housework, domesticity, housewifery, menage, family matter, domestic affairs, family financial situation"
5330,徐,徐,xú,"Xv, Surname"
5331,拍照,拍照,pāizhào,"take a picture, take (picture), shoot (film), snap, film, take a photograph, take, photograph, shoot"
5332,病,病,bìng,fall sick
5333,東歐,东欧,dōngōu,"hamster, Eastern Europe, kvass, Eastern European"
5334,頓時,顿时,dùnshí,"suddenly, at once, immediately"
5335,刻,刻,kè,m.[standard]
5336,傳染,传染,chuánrǎn,"infect, be contagious"
5337,開幕,开幕,kāimù,"open, inaugurate (meeting/etc.), raise curtain"
5338,單身,单身,dānshēn,"unmarried, single"
5339,傳染,传染,chuánrǎn,"infect, be contagious"
5340,景色,景色,jǐngsè,"view, scenic, outlook, perspective, scene, scenery, prospect, landscape"
5341,印,印,yìn,"print, engrave"
5342,現任,现任,xiànrèn,presently hold office of
5343,外匯,外汇,wàihuì,foreign exchange
5344,測量,测量,cèliáng,"survey, measure"
5345,緩緩,缓缓,huǎnhuǎn,"postpone, postponement, little by little, slowly, put off, gradually, delay"
5346,右手,右手,yòushǒu,"right hand, right-hand side"
5347,學費,学费,xuéfèi,"entrance_fee, tuition fee, premium, schooling, tuition"
5348,頻道,频道,píndào,"channel, transmission channel, frequency channel"
5349,一味,一味,yīwèi,"blindly, stubbornly"
5350,糖,糖,táng,"refined sugar, carob bar, negus, sugar, candy, carbohydrate, sweets"
5351,製品,制品,zhìpǐn,"manufacture, ware, facture, manufactured goods, products"
5352,數,数,shǔ,count
5353,樓梯,楼梯,lóutī,"stairs, staircase"
5354,天真,天真,tiānzhēn,"naive, innocent"
5355,嚮往,嚮往,xiàngwǎng,"long for, dream of"
5356,熱愛,热爱,rèài,love ardently
5357,山谷,山谷,shāngǔ,mountain valley
5358,不一,不一,bùyī,"vary, differ"
5359,卡片,卡片,kǎpiàn,card
5360,女友,女友,nǔyǒu,female friend
5361,引,引,yǐn,"quote, cite"
5362,公聽會,公听会,gōngtīnghuì,hearing
5363,出貨,出货,chūhuò,dispatch goods
5364,發作,发作,fāzuò,"break out, flare up, explode, have fit of anger, get_into, have a fit of anger, show effect"
5365,顯現,显现,xiǎnxiàn,"demonstrate, come on, show, uncover, show_up, express, come out, manifest oneself, show up, turn up, appear, reveal, reveal oneself, emerge, show_off, appearance, run, evince, surface, kithe, take_on, unveil, break, bring out"
5366,戰績,战绩,zhànjī,military successes
5367,嚮往,嚮往,xiàngwǎng,"long for, dream of"
5368,顧及,顾及,gùjí,"study, give consideration to, consider, take into account, consult, attend to, allow_for"
5369,藝人,艺人,yìrén,"creative person, artiste, entertainer, artist, artisan, cackler, actor, handcraftsman, performer"
5370,共享,共享,gòngxiǎng,"enjoy together, share"
5371,亞運,亚运,yǎyùn,Asian Games
5372,地毯,地毯,dìtǎn,"carpet, footcloth, rug, carpeting, tapis"
5373,熱愛,热爱,rèài,love ardently
5374,沒有,没有,méiyǒu,particle: used to ask if an action has been completed
5375,搖,摇,yáo,"rock, agitate, wigwag, row, pan, swing, shake, wave, scull, turn"
5376,受理,受理,shòulǐ,accept and hear a case
5377,肝癌,肝癌,gānyán,"cancer of liver, liver cancer"
5378,受理,受理,shòulǐ,accept and hear a case
5379,老年人,老年人,lǎoniánrén,"oldster, old man, old, old people, ancient, senior citizen, the aged, old person, woman, senior_citizen"
5380,何,何,hé,Surname
5381,保養,保养,bǎoyǎng,"take good care of one's health, maintain, keep in good repair"
5382,保養,保养,bǎoyǎng,"take good care of one's health, maintain, keep in good repair"
5383,花朵,花朵,huāduǒ,"blossom, flower, posy, bloom, inflorescence"
5384,促成,促成,cùchéng,"facilitate, effect"
5385,屋子,屋子,wūzi5,"room, house"
5386,桌子,桌子,zhuōzi5,"mahogany, table, desk"
5387,成交量,成交量,chéngjiāoliàng,quantity of a deal
5388,誇張,夸张,kuāzhāng,"overpitch, overact, vapor, overpaint, overcolor, overstate, overplay, overdraw, overblow, hyperbolize, overcharge, stretch, amplify, enhance, aggrandize, ham, highfalutin, vaunt, magnify, boast, dilate, overdo, exaggerate"
5389,測量,测量,cèliáng,"survey, measure"
5390,威力,威力,wēilì,"world power, superpower, major power, rod, great power, prowess, tooth, might, power"
5391,部,部,bù,"part, section, unit, headquarters, office, board, ministry, troops"
5392,新人,新人,xīnrén,newlywed
5393,記者會,记者会,jìzhěhuì,"backgrounder, news conference"
5394,書店,书店,shūdiàn,bookstore
5395,現金,现金,xiànjīn,"quids, rhino, clink, ready, cash reserve in bank, dough, dust, ducat, kale, cash, blunt, till, ready money"
5396,消化,消化,xiāohuà,digest
5397,消化,消化,xiāohuà,digest
5398,商機,商机,shāngjī,"call option, business opportunity"
5399,性教育,性教育,xìngjiàoyū,"sex education, sexual education"
5400,回想,回想,huíxiǎng,"look_back, retrospect, recur, recollection, cut back, think back, echo, remember, reflect, recollect, recall, recapture, go back, flash_back, commemorate, retroject, retrace, flash back"
5401,不解,不解,bùjiě,not understand
5402,憲法,宪法,xiànfǎ,"constitution, charter"
5403,熟,熟,shú,"ripe, cooked, done, deep (sleep, thoughts, etc.)"
5404,外商,外商,wàishāng,"foreign business man, foreign merchant"
5405,談論,谈论,tánlùn,discuss
5406,談論,谈论,tánlùn,discuss
5407,親人,亲人,qīnrén,"those dear to one, one's parents, spouse, children, etc., one's family members, dear ones, relative, close relatives, folks"
5408,可靠,可靠,kěkào,"reliable, dependable"
5409,視窗,视窗,shìchuāng,"counter, window, wicket"
5410,變革,变革,biàngé,"change, revolution"
5411,牌,牌,pái,"dominoes, plate, prosodic pattern for ^1 ci2 ^ or ^3 qu3, card, cards, cards, dominoes, etc., brand, tablet, prosodic pattern for ^1ci2^ or ^3qu3^"
5412,圖說,图说,túshuō,"illustrated, illustrated/pictorial handbook, illustrated handbook, pictorial handbook"
5413,主語,主语,zhǔyǔ,subject
5414,一貫,一贯,yīguàn,"consistent, persistent, all along"
5415,外觀,外观,wàiguān,"shell, outward appearance, show, externality, visual aspect, exterior, effect, superficies, look, likeness, appearance, facade, surface, presentment, apparel, impression, facies, aspect, complexion, resemblance, semblance, guise, frontage, outwardness, rind, garb, showing, face, veneer, outside, garment, getup"
5416,瓦斯,瓦斯,wǎsī,gas
5417,主觀,主观,zhǔguān,subjective
5418,關卡,关卡,guānkǎ,"an outpost of the tax office, tax office outpost, barrier, checkpoint"
5419,囉,囉,luó,"particle: calling attention to, or mildly warning of, a situation"
5420,邊界,边界,biānjiè,"confine, margin, bounds, marchland, boundary, demarcation line, demarcation, borderline, precinct, skirt, frontier, list, borderland, delimitation, butting, bound, boundary line, perimeter, outskirts, coast, march, line, border, mete, limit, skirting, edge"
5421,廳,厅,tīng,"department, provincial government department, office, lobby, salle, hall"
5422,轉為,转为,zhuǎnwéi,"change into, change to"
5423,抑制,抑制,yìzhì,"forbear, chasten, last out, govern, forebear, help, baste, cumber, rein, hamshackle, damp, disable, harness, restrain, muffle, stay, rule, hold in, bottle_up, throttle, constrain, retard, moderate, cork, swallow, hold, mortify, smother, rebuke, withhold, refrain, soften, control, break, curb, oppress, inhibit, ride out, coerce, dominate, bridle, constrict, choke, inhibition, dampen, restraint"
5424,減低,减低,jiǎndī,"bring down, turn down, undercut, take away, lour, reduction, lower, decline, wane, cut, depress, mitigate, lessen, cut_down, cripple, reduce, unbuild, go_down, de-escalate, go down, detract, sink, drop_off, play_down, drop off"
5425,臉色,脸色,liǎnsè,"brow, countenance, facial_expression, look, facial expression, colouring, complexion"
5426,怎能,怎能,zěnnéng,How can
5427,屍體,尸体,shītǐ,"remains, body, corps, corpus, mort, cadaver, stiff, cadaverine, deader, carcass, corpse, ashes, dust, clay, ash, dead body, corse, bones"
5428,鳥兒,鸟儿,niǎoér,bird
5429,成就感,成就感,chéngjiùgǎn,"sense of achievement, feeling of achievement, achievability"
5430,美軍,美军,měijūn,"U.S. Army, American soldier, American army, gook"
5431,師長,师长,shīzhǎng,teacher
5432,河流,河流,héliú,"freshet, rivers, river"
5433,容積,容积,róngjī,"volume, cubic_measure, capacity, bulk, proportion, content, cubage, solidity"
5434,信徒,信徒,xìntú,"creed, votary, believer, follower, devotee, sheep, lamb, disciple, worshipper, churchman, laity, adherent, worshiper"
5435,品味,品味,pǐnwèi,"savor, taste"
5436,客家,客家,kèjiā,Hakka
5437,要素,要素,yàosù,"basics, ingredient, essential, key element, constituent, fashioning, element, core, making, stuff, essential factor, factor, essence, strand, elemental, devising, chemistry, requisite, momentum"
5438,氧氣,氧气,yǎngqì,"O, atomic number 8, oxygen"
5439,塑膠,塑胶,sùjiāo,"plastics, plastic, synthetic resin, plastic cement"
5440,乘,乘,chéng,ride
5441,信用卡,信用卡,xìnyòngkǎ,"charge plate, charge card, credit card, credit_card, charge_card, bank card"
5442,雷射,雷射,léishè,"optical maser, laser"
5443,國建,国建,guójiàn,national construction
5444,無不,无不,wúbù,"without exception, invariably"
5445,處長,处长,chùzhǎng,"department, section chief, commissioner, department/office head, department head, head of a department, office head"
5446,採集,采集,cǎijí,"oyster, collect, gather, pick up and put together"
5447,書本,书本,shūběn,"volume, book"
5448,笑,笑,xiào,"laugh at, ridicule"
5449,掀起,掀起,xiānqǐ,"lift, raise, surge, cause to surge, start (movement/etc.)"
5450,偏遠,偏远,piānyuǎn,"remote, faraway"
5451,親密,亲密,qīnmì,"chum, intimate, close"
5452,鋼鐵,钢铁,gāngtiě,iron and steel
5453,燃燒,燃烧,ránshāo,burn
5454,雕刻,雕刻,diāokè,statue
5455,噴,喷,pēn,"splosh, spray, sprinkle, spout, puff, gush, splash, spurt"
5456,燃燒,燃烧,ránshāo,burn
5457,綠島,绿岛,lùdǎo,Green Island
5458,輪流,轮流,lúnliú,"by turns, in turn"
5459,鄰近,邻近,línjìn,"adjoin, next to, neighbour, close_to, near, border on, be close to, be adjacent to, be near, neighbor"
5460,擊敗,击败,jíbài,"trounce, bat, frustrate, trump, down, lace, overwhelm, thrash, overpower, stoush, snooker, floor, overcome, drub, beat out, defeat, war, have the best, clobber, lick, conquer, smite, outmatch, worst, sort_out, smash, crush, outgun, vanquish, beat, put_down, pip, get the best, bear_down"
5461,結,结,jié,"tie, knit, knot, weave, congeal, form, forge, cement, settle, conclude"
5462,分發,分发,fēnfā,"distribute, hand out, issue"
5463,謹慎,谨慎,jǐnshèn,"cautious, circumspect"
5464,樂曲,乐曲,yuèqǔ,"composition, piece of music, music, musical composition, piece, number, opus"
5465,世上,世上,shìshàng,"in the world, on earth"
5466,外婆,外婆,wàipó,"granny, maternal grandmother, grandma, grandmother"
5467,巨人,巨人,jùrén,"colossus, whale, Titan, Goliath, titan, bouncer, darb, goliath, Brobdingnagian, heavyweight, monster, behemoth, giant, Heracles, hulk"
5468,用功,用功,yònggōng,"study, studious, hardworking, niggle, grind"
5469,人情,人情,rénqíng,"human feelings, favor, gift, present"
5470,公務人員,公务人员,gōngwùrényuán,"civil_service, civil servant, civil_servant, civil service"
5471,生日,生日,shēngrì,birthday
5472,天才,天才,tiāncái,"genius, talent, gift"
5473,尺寸,尺寸,chǐcùn,"measurement, dimension"
5474,覺,觉,jué,"sense, feel, wake (up), become aware/awakened, discover"
5475,戀愛,恋爱,liànài,"love, romantic attachment"
5476,謹慎,谨慎,jǐnshèn,"cautious, circumspect"
5477,短線,短线,duǎnxiàn,"small amount/quantity, a little/few"
5478,停放,停放,tíngfàng,"park, place"
5479,戀愛,恋爱,liànài,"love, romantic attachment"
5480,走入,走入,zǒurù,"enter, walk in, go in"
5481,孝順,孝顺,xiàoshùn,"filial, show filial obedience"
5482,多樣化,多样化,duōyànghuà,"diversify, make varied"
5483,多樣化,多样化,duōyànghuà,"diversify, make varied"
5484,住家,住家,zhùjiā,"domicile, lodging, dwelling_house, dwelling, household, abode, dwelling house, home, resident, habitation, residence"
5485,步道,步道,bùdào,"sidewalk, pavement"
5486,免得,免得,miǎnde5,"conj.: so as not to, so as to avoid"
5487,股份,股份,gǔfèn,"equity, concern, share, stake, stock, interest"
5488,派員,派员,pàiyuán,assign sb. to do sth.
5489,知識分子,知识分子,zhīshìfènzǐ,"wig, intellectual, educated person, educated person (high school or college equivalent), intellect, intelligentsia, clerisy"
5490,停放,停放,tíngfàng,"park, place"
5491,傳承,传承,chuánchéng,pass down through generations
5492,售,售,shòu,"get (plan, sale, get accepted, get (plan/etc.) accepted, etc.) accepted, sell"
5493,攻下,攻下,gōngxià,"seize, capture, conquer, take over, overcome"
5494,牽,牵,qiān,"lead along (by holding hand/halter/etc.), pull, involve, implicate"
5495,笨,笨,bèn,"dull, cumbersome, wooden-headed, clumsy, stupid, awkward"
5496,散步,散步,sànbù,take a walk
5497,蚊子,蚊子,wénzi5,"culex, mosquito, punkie"
5498,愛國,爱国,àiguó,"love one's country, patriotic"
5499,傳承,传承,chuánchéng,pass down through generations
5500,國旗,国旗,guóqí,"flag, ensign, national flag"
5501,異,异,yì,"surprise, other, another, unusual, separate, treat specially, feel surprised, different, foreign (place), disloyal, strange"
5502,逃,逃,táo,"guy, escape, egress, scarper, break away, shrink from, fly, take flight, evade, run away, evasion, flee, run, shirk, turn tail, bunk, lam, dodge"
5503,基督教,基督教,jīdūjiào,"Christian religion, Christianity, Christendom, Christianism, Christian"
5504,常識,常识,chángshì,"nous, reason, mother_wit, general knowledge, common_sense, mother wit, horse sense, public knowledge, common sense, sense, good sense, gumption, commonsense, wisdom"
5505,掌聲,掌声,zhǎngshēng,"clapping, applause"
5506,教訓,教训,jiàoxùn,"lesson, moral"
5507,愛國,爱国,àiguó,"love one's country, patriotic"
5508,賓語,宾语,bīnyǔ,object
5509,寫下,写下,xiěxià,"sign, put, set_down, put_down, take, write down"
5510,總數,总数,zǒngshù,"result, all, amount of money, aggregate, sum total, summation, amount, number, sum, total, tale, sum of money, totality, capita, quantity"
5511,電腦化,电脑化,diànnǎohuà,computerize
5512,聚,聚,jù,"get together, assemble, forgather, gather"
5513,精確,精确,jīngquè,"elegant, accurate, precise, exact"
5514,登山,登山,dēngshān,"engage in mountain-climbing, sport"
5515,富有,富有,fùyǒu,be rich/wealthy
5516,登山,登山,dēngshān,"engage in mountain-climbing, sport"
5517,學子,学子,xuézǐ,"student, disciple"
5518,創下,创下,chuàngxià,"set, create, build"
5519,簽約,签约,qiānyuē,sign a contract
5520,電池,电池,diànchí,"galvanic pile, electric battery, pile, D, battery, cell, (electric) cell, electric_battery, element, voltaic pile"
5521,電腦化,电脑化,diànnǎohuà,computerize
5522,出版社,出版社,chūbǎnshè,"publisher, press"
5523,加快,加快,jiākuài,"speed up, accelerate"
5524,手槍,手枪,shǒuqiāng,pistol
5525,工藝,工艺,gōngyì,"technology, craft"
5526,台東,台东,táidōng,Taitung (City in Taiwan)
5527,文書,文书,wénshū,"document, official correspondence, secretary, secretariat"
5528,繪圖,绘图,huìtú,"draw pictures, prepare engineering drawings"
5529,繪圖,绘图,huìtú,"draw pictures, prepare engineering drawings"
5530,簽約,签约,qiānyuē,sign a contract
5531,蘇,苏,sū,Surname
5532,換言之,换言之,huànyánzhī,in other words
5533,中醫,中医,zhōngyī,"trad. Ch. medicine, doctor of trad. Ch. medicine"
5534,尺度,尺度,chǐdù,"measure, scale"
5535,再者,再者,zàizhě,"conj.: moreover, besides"
5536,火車站,火车站,huǒchēzhàn,railway station
5537,僅僅,仅仅,jǐnjǐn,"strictly, solely, exclusively, entirely, alone, merely, only, purely, simply, scantly, narrowly, barely, just"
5538,伸手,伸手,shēnshǒu,"ask for help, stretch one's hand, meddle in, stretch, hold out one's hand, stretch out one's hand, reach"
5539,矣,矣,yǐ,particle: used in classical Chinese to express exclamation
5540,老實,老实,lǎoshí,"honest, frank, well-behaved, good, simple-minded, naive"
5541,良心,良心,liángxīn,"sense of right and wrong, conscientiousness, conscience, moral sense, scruples"
5542,多重,多重,duōchóng,multiple
5543,旺盛,旺盛,wàngshèng,"vigorous, prosperous, exuberant"
5544,股東,股东,gǔdōng,"raider, shareholder, interest, old fogy, shareowner, curio, antique, partner, stockholder, interest group"
5545,苗栗縣,苗栗县,miáolìxiàn,Miaoli(a county in Taiwan)
5546,約,约,yuē,"ask, invite"
5547,受訓,受训,shòuxùn,receive/undergo training
5548,流失,流失,liúshī,"run off, be washed away"
5549,專注,专注,zhuānzhù,be absorbed in
5550,作出,作出,zuòchū,make (decision/etc.)
5551,流失,流失,liúshī,"run off, be washed away"
5552,感興趣,感兴趣,gǎnxìngqù,"be interested, be interested in"
5553,連繫,连系,liánxì,contact
5554,富,富,fù,"wealthy, abundant"
5555,條款,条款,tiáokuǎn,"title, item, purview, detail, statute title, stipulation, proviso, point, article, provisions, provision, term, clause, condition"
5556,專注,专注,zhuānzhù,be absorbed in
5557,商業區,商业区,shāngyèqū,"business_district, strip, white way, business zone, downtown, business district"
5558,甜,甜,tián,"sweet, agreeable"
5559,聊,聊,liáo,"endure, rely/depend on, rely on, depend on, chat"
5560,莫斯科,莫斯科,mòsīkē,"capital of the Soviet Union, Russian capital, Moscow"
5561,神情,神情,shénqíng,"patina, way, expression, facial_expression, look, patine"
5562,連繫,连系,liánxì,contact
5563,擁抱,拥抱,yǒngbào,embrace
5564,實地,实地,shídì,"concretely, on the ground, on the ground/spot, spot, on the spot"
5565,擁抱,拥抱,yǒngbào,embrace
5566,學童,学童,xuétóng,"schoolchild, schoolboy, schooler, school children"
5567,湯,汤,tāng,"hot/boiling water, hot springs, soup, broth"
5568,右派,右派,yòupài,right
5569,世間,世间,shìjiān,"earth, world"
5570,量產,量产,liàngchǎn,set bounds to produce
5571,想,想,xiǎng,miss
5572,下去,下去,xiàqù,"go on, continue, go down, descend, take_up, descent"
5573,平,平,píng,"flat, level, even, ordinary, common, uniform, safe and sound, peaceful, calm, fair, just, objective"
5574,之上,之上,zhīshàng,on
5575,全民健保,全民健保,quánmínjiànbǎo,National Health Insurance
5576,外交部,外交部,wàijiāobù,"foreign office, diplomatic building, Foreign Ministry, Ministry of Foreign Affairs"
5577,避開,避开,bìkāi,"beg, preclude, avoidance, escape, sidestep, leapfrog, stave_off, get_around, shun, keep_away, keep away, turn away, skirt, fend_off, avoid, evade, ditch, miss, avert, eschew, flee, divert, parry, sheer, dodge"
5578,體型,体型,tǐxíng,"type of build, type of build/figure, build, body type, figure, somatotype, type of figure, habitus, body-build, physique, type of human physique"
5579,週末,週末,zhōumò,weekend
5580,得主,得主,dézhǔ,"recipient, winner"
5581,體育館,体育馆,tǐyūguǎn,"stadium, coliseum, gym, turnhall, palestra, gymnasium"
5582,左右,左右,zuǒyòu,left and right
5583,相連,相连,xiānglián,"communicate, be joined, interconnect, be linked together, intercommunicate, interlink, meet, attach"
5584,堅決,坚决,jiānjué,"firm, determined"
5585,罪嫌,罪嫌,zuìxián,criminal suspect
5586,行駛,行驶,xíngshǐ,go (of vehicles/boats/etc.)
5587,行駛,行驶,xíngshǐ,go (of vehicles/boats/etc.)
5588,兼任,兼任,jiānrèn,"hold a concurrent post, part-time, hold concurrent post"
5589,好聽,好听,hǎotīng,pleasant to hear
5590,為期,为期,wéiqí,by/lasting (a definite time)
5591,科,科,kē,"department, section, rules, laws, a branch of academic or vocational study, stage directions, (animal) family, a division or subdivision of an administrative uni, family, branch of study, faculty, administrative section"
5592,美濃,美浓,měinóng,Meinung(a town in Taiwan)
5593,誠意,诚意,chéngyì,"candour, singleness, sincerity, good faith, candor"
5594,名利,名利,mínglì,"fame and gain, fame and wealth"
5595,遊憩,遊憩,yóuqì,relax and play
